"","true_like","ml_like","ml_X1","ml_X2","ml_X3","ml_X4","true_X1","true_X2","true_X3","true_X4","M","N","z","run","seed","p","nbio","nevents"
"sub.17109",-502.551942838697,-502.551942838697,2,3,1,2,2,3,1,2,250,4,18,13,1325095418,0.95,4,1
"sub.18109",-480.533966874864,-480.533966874864,1,2,3,2,1,2,3,2,250,4,19,13,1325095419,0.95,4,1
"sub.19109",-422.071405795664,-422.071405795664,2,1,1,2,2,1,1,2,250,4,20,13,1325095420,0.95,4,1
"sub110",-435.951324918899,-435.951324918899,2,2,1,2,2,2,1,2,250,4,1,14,142509541,0.95,2,2
"sub.1502",-365.970021358398,-365.970021358398,1,1,1,1,1,1,1,1,250,4,2,14,142509542,0.95,2,2
"sub.2110",-456.338788982042,-456.338788982042,1,2,2,2,1,2,2,2,250,4,3,14,142509543,0.95,2,2
"sub.3110",-441.472986545607,-441.472986545607,1,2,1,2,1,2,1,2,250,4,4,14,142509544,0.95,2,2
"sub.4110",-350.382806005087,-350.382806005087,1,1,1,1,1,1,1,1,250,4,5,14,142509545,0.95,2,2
"sub.5110",-436.222781122072,-436.222781122072,2,1,1,1,2,1,1,1,250,4,6,14,142509546,0.95,2,2
"sub.6110",-442.302529673717,-442.302529673717,1,2,2,2,1,2,2,2,250,4,7,14,142509547,0.95,2,2
"sub.7110",-451.007136695914,-451.007136695914,3,2,3,1,3,2,3,1,250,4,8,14,142509548,0.95,2,2
"sub.8110",-435.729784336117,-435.729784336117,2,1,2,2,2,1,2,2,250,4,9,14,142509549,0.95,2,2
"sub.9110",-445.834094081681,-445.834094081681,2,1,2,2,2,1,2,2,250,4,10,14,1425095410,0.95,2,2
"sub.10110",-459.804581955402,-459.804581955402,1,3,2,3,1,3,2,3,250,4,11,14,1425095411,0.95,2,2
"sub.11149",-505.134572143244,-505.134572143244,1,3,4,2,1,3,4,2,250,4,12,14,1425095412,0.95,2,2
"sub.12126",-484.286316825057,-484.286316825057,1,2,3,1,1,2,3,1,250,4,13,14,1425095413,0.95,2,2
"sub.13113",-495.844534246748,-495.844534246748,3,1,1,2,3,1,1,2,250,4,14,14,1425095414,0.95,2,2
"sub.14110",-451.327724886472,-451.327724886472,1,2,1,1,1,2,1,1,250,4,15,14,1425095415,0.95,2,2
"sub.15110",-443.487685327424,-443.487685327424,2,2,2,1,2,2,2,1,250,4,16,14,1425095416,0.95,2,2
"sub.16110",-431.058147942769,-431.058147942769,1,1,1,2,1,1,1,2,250,4,17,14,1425095417,0.95,2,2
"sub.17110",-472.087449647881,-472.087449647881,1,3,2,3,1,3,2,3,250,4,18,14,1425095418,0.95,2,2
"sub.18110",-496.934571085088,-496.934571085088,1,3,2,1,1,3,2,1,250,4,19,14,1425095419,0.95,2,2
"sub.19110",-361.4619052542,-361.4619052542,1,1,1,1,1,1,1,1,250,4,20,14,1425095420,0.95,2,2
"sub111",-396.762070042254,-396.762070042254,1,1,1,1,1,1,1,1,250,4,1,15,152509541,0.95,4,1
"sub.1503",-452.887619629539,-452.887619629539,1,3,1,2,1,3,1,2,250,4,2,15,152509542,0.95,4,1
"sub.2111",-471.654559047131,-471.654559047131,1,1,2,1,1,1,2,1,250,4,3,15,152509543,0.95,4,1
"sub.3111",-353.324486404091,-353.324486404091,1,1,1,1,1,1,1,1,250,4,4,15,152509544,0.95,4,1
"sub.4111",-420.96576065546,-420.96576065546,2,1,1,1,2,1,1,1,250,4,5,15,152509545,0.95,4,1
"sub.5111",-459.421306465955,-459.421306465955,1,2,3,3,1,2,3,3,250,4,6,15,152509546,0.95,4,1
"sub.6111",-454.253794401981,-454.253794401981,1,2,2,2,1,2,2,2,250,4,7,15,152509547,0.95,4,1
"sub.7111",-455.396979730436,-455.396979730436,2,1,1,1,2,1,1,1,250,4,8,15,152509548,0.95,4,1
"sub.8111",-428.28429861628,-428.28429861628,2,1,2,2,2,1,2,2,250,4,9,15,152509549,0.95,4,1
"sub.9111",-512.744162508643,-512.744162508643,1,2,3,4,1,2,3,4,250,4,10,15,1525095410,0.95,4,1
"sub.10111",-491.516170295734,-491.516170295734,1,3,4,2,1,3,4,2,250,4,11,15,1525095411,0.95,4,1
"sub.11150",-424.787460229184,-424.787460229184,1,1,1,2,1,1,1,2,250,4,12,15,1525095412,0.95,4,1
"sub.12127",-457.708821163737,-457.708821163737,3,3,2,1,3,3,2,1,250,4,13,15,1525095413,0.95,4,1
"sub.13114",-486.999090280848,-486.999090280848,2,2,1,3,2,2,1,3,250,4,14,15,1525095414,0.95,4,1
